specification,n,r_squared,adj_r_squared,beta_cit_rate,tstat_cit_rate,beta_div_tax_combined,tstat_div_tax_combined,beta_real_interest_rate,tstat_real_interest_rate,beta_xrd_effect,tstat_xrd_effect,beta_savings_gni,tstat_savings_gni
CIT only,51,0.02696434202512199,0.007106471454206065,0.008395546216400441,1.1652753934157734,,,,,,,,
Combined div tax only,50,0.06432051672871741,0.0448271941605658,,,0.006990355090370087,1.816485049062151,,,,,,
Real interest rate only,34,0.0007324608120932163,-0.030494649787528916,,,,,-0.0016360041841252128,-0.15315327790805072,,,,
CIT + div tax,50,0.06903138485960825,0.029415699108953253,0.0037780288607824914,0.48767656073257937,0.006280375436551118,1.5157556274811466,,,,,,
CIT + R&D,51,0.3765642311778463,0.35058774081025657,0.0016747845597430673,0.2805780583743138,,,,,6.395795816411976,5.188124674388672,,
Div tax + R&D,50,0.39060711155000893,0.3646754992755412,,,-0.0031934389436888535,-0.8543544063335774,,,7.1583326930096485,5.0164888799312175,,
Real rate + R&D,34,0.4330044018057321,0.3964240406319084,,,,,-0.00040667938502229623,-0.04972139390760154,7.372027601937111,4.861491450611273,,
Div tax + Real rate,33,0.05880400756093895,-0.003942391934998346,,,0.0080702409995692,1.3670413875572047,0.0012664851577554124,0.11709349803597553,,,,
Div tax + Real rate + R&D,33,0.4579046559679172,0.4018258272749431,,,-0.005588777498823175,-1.0289200644547019,-0.000841056350344809,-0.10058916278529084,8.385072831229959,4.620642592109028,,
Div tax + R&D + Savings,49,0.4014513907985925,0.3615481501851653,,,-0.00457009577662484,-1.1184610471367498,,,7.537751025130626,5.007857354614549,-0.004565501525273233,-0.9029718126350498
Div tax + Real rate + R&D + Savings,33,0.45931774318252183,0.38207742078002493,,,-0.004822346653322949,-0.7771464794077706,-0.00018178350269714533,-0.020561995561117177,8.27803586141172,4.388329065114208,0.0017626180818299602,0.27051567805626053
Kitchen sink,33,0.46275253242849057,0.3632622606559889,0.0044969038478726185,0.41547485105724286,-0.004768848553538591,-0.7569270101817323,-0.0013303381876552185,-0.14166900462164314,8.199034931906121,4.260795562359453,0.0032826772530937837,0.4342933479187471
